,Water,Energy,Protein,Carbohydrates,Sodium,Sugar
0,0.0635,0.4246119733924612,0.1599864130434783,0.6849,0.03447030290520667,0.05751503006012024
1,0.9031,0.041019955654102,0.0007925724637681161,0.0956,0.00010320449971618763,0.08987975951903808
2,0.5752,0.27605321507760533,0.3087635869565218,0.0,0.0014448629960266267,0.0
3,0.549,0.18292682926829268,0.0,0.4455,0.00459260023737035,0.32865731462925846
4,0.843,0.05543237250554324,0.04868659420289856,0.1059,0.00023221012436142218,
5,0.9055,0.03547671840354767,0.00803894927536232,0.0745,0.004799009236802725,0.040380761523046094
6,0.05480000000000001,0.39578713968957874,0.9519927536231886,0.0451,0.033515661282831934,0.0
7,0.7025,0.12305986696230599,0.23256340579710147,0.0541,0.01720935032767429,0.0
8,0.751,0.12749445676274945,0.2685688405797102,0.0,0.01782857732597141,
9,0.5841,0.2361419068736142,0.14300271739130438,0.16820000000000002,0.010191444346973529,
10,0.7678,0.1286031042128603,0.21976902173913046,0.0,0.0029413282419113473,0.0
11,0.5549000000000001,0.23392461197339245,0.4094202898550725,0.0,0.0017286753702461428,0.0
12,0.06620000000000001,0.4057649667405765,0.09759963768115942,0.7674,0.011713710717787295,0.28927855711422845
13,0.349,0.3170731707317073,0.11548913043478262,0.4621,0.012049125341864905,0.03406813627254509
14,0.8620000000000001,0.0787139689578714,0.009057971014492756,0.091,0.0015480674957428144,0.09118236472945891
15,0.775,0.14412416851441243,0.15511775362318841,0.001,0.0012642551215232985,0.0
16,0.831,0.08980044345898004,0.01822916666666667,0.0968,0.017054543578100007,0.024248496993987973
17,0.7089,0.15521064301552107,0.22565670289855075,0.0291,0.0019866866195366118,0.0
18,0.735,0.10421286031042129,0.05831068840579712,0.1869,0.011275091593993498,0.056813627254509017
19,0.4491,0.4878048780487805,0.10846920289855075,0.0079,0.0013158573713813924,0.0
20,0.648,0.16186252771618626,0.24796195652173916,0.08199999999999999,0.013106971463955829,0.012024048096192385
21,0.6177,0.20842572062084258,0.34159873188405804,0.0,0.0014190618710975798,0.0
22,0.7253000000000001,0.16851441241685144,0.002264492753623189,0.1167,0.00023221012436142218,0.01092184368737475
23,0.6143,0.1629711751662971,0.04993206521739131,0.3309,0.0023737034934723155,0.22104208416833665
24,0.284,0.3968957871396896,0.08491847826086958,0.4355,0.02760720367408019,0.040480961923847696
25,0.5719,0.229490022172949,0.011096014492753624,0.2826,0.01808658857526188,0.18366733466933866
26,0.34700000000000003,0.3325942350332594,0.05887681159420291,0.45,0.0150162547087053,0.18537074148296592
27,0.0,0.9855875831485588,0.0,0.0,0.014061613086330565,0.0
28,0.6071,0.3026607538802661,0.19214221014492755,0.0,0.004050776613860364,
29,0.7586,0.12749445676274945,0.21818387681159424,0.0015,0.0043087878631508335,0.001002004008016032
30,0.41700000000000004,0.29711751662971175,0.016983695652173916,0.47200000000000003,0.004437793487796068,0.23907815631262525
31,0.812,0.082039911308204,0.10869565217391305,0.0447,0.0015738686206718613,
32,0.7486,0.1674057649667406,0.13213315217391305,0.0148,0.002786521492337066,0.0
33,0.1093,0.42904656319290463,0.042798913043478264,0.7775,0.003044532741627535,0.7350701402805611
34,0.726,0.16518847006651885,0.0,0.1317,0.0005160224985809381,
35,0.1474,0.3780487804878049,0.0,0.8513,0.0,0.531062124248497
36,0.0018,0.5964523281596452,0.0725769927536232,0.6315,0.0016254708705299551,0.5780561122244489
37,0.79,0.09534368070953436,0.0558197463768116,0.138,0.001702874245317096,0.054408817635270536
38,0.018000000000000002,0.24057649667405764,0.0407608695652174,0.8590000000000001,0.0020898911192527994,0.026052104208416832
39,0.6737000000000001,0.16851441241685144,0.3291440217391305,0.0,0.0014964652458847206,0.0
40,0.8754000000000001,0.07317073170731707,0.01822916666666667,0.067,0.0007482326229423603,0.06713426853707415
41,0.5798,0.2771618625277162,0.2935914855072464,0.0,0.0018576809948913774,0.0
42,0.5479999999999999,0.29933481152993346,0.28600543478260876,0.0,0.0011868517467361578,
43,0.74,0.12084257206208426,0.06453804347826088,0.174,0.006192269982971258,0.01002004008016032
44,0.9351,0.02328159645232816,0.00622735507246377,0.051,5.1602249858093815e-05,0.011022044088176353
45,0.5655,0.3436807095343681,0.18478260869565222,0.0,0.0014448629960266267,
46,0.7583,0.12527716186252771,0.22509057971014496,0.0,0.00216729449403994,
47,0.7552,0.14079822616407983,0.23211050724637686,0.0,0.001935084369678518,0.0
48,0.0489,0.45787139689578715,0.08491847826086958,0.7905,7.740337478714073e-05,0.3897795591182364
49,0.6381,0.2139689578713969,0.29687500000000006,0.0,0.001702874245317096,0.0
50,0.0255,0.5609756097560976,0.19599184782608697,0.5162,0.010655864595696373,0.03006012024048096
51,0.8778,0.07317073170731707,0.02083333333333334,0.0676,0.0007998348728004541,0.06773547094188376
52,0.0904,0.5,0.09171195652173914,0.6386000000000001,0.00642448010733268,0.2665330661322645
53,0.7473000000000001,0.14079822616407983,0.20538949275362323,0.011399999999999999,0.0019866866195366118,
54,0.875,0.07317073170731707,0.01630434782608696,0.0761,0.00046442024872284435,0.07625250501002004
55,0.03,0.5310421286031042,0.19021739130434787,0.49710000000000004,0.0005160224985809381,0.01533066132264529
56,0.8540000000000001,0.0598669623059867,0.017436594202898555,0.1,0.0071469116053459935,0.07715430861723446
57,0.9162,0.031042128603104215,0.009057971014492756,0.06570000000000001,0.000541823623509985,0.05390781563126252
58,0.078,0.4634146341463415,0.07925724637681161,0.6950000000000001,0.028665049796171113,
59,0.34500000000000003,0.2682926829268293,0.00792572463768116,0.644,0.0010320449971618763,0.4348697394789579
60,0.763,0.12527716186252771,0.02151268115942029,0.1502,0.008565973476443573,
61,0.371,0.28492239467849223,0.00011322463768115944,0.43200000000000005,0.009572217348676403,0.05110220440881763
62,0.84,0.06208425720620843,0.1392663043478261,0.0,,
63,0.8521,0.058758314855875834,0.004528985507246378,0.1399,2.5801124929046907e-05,0.11813627254509017
64,0.027999999999999997,0.606430155210643,0.05661231884057972,0.5870000000000001,0.00859177460137262,0.22545090180360722
65,0.8253,0.07649667405764966,0.1365489130434783,0.0318,0.010114040972186388,0.0
