,VitaminC
561,6.5
562,0.0
563,10.5
564,0.0
565,0.7
566,127.7
567,
568,0.0
569,0.0
570,
571,7.6
572,0.0
573,15.5
574,0.1
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,
583,0.5
584,2.9
585,1.1
586,0.0
587,176.2
588,4.3
589,0.0
590,0.5
591,0.6
592,0.0
593,0.0
594,5.3
595,0.0
596,0.0
597,27.2
598,0.0
599,0.7
600,0.0
601,2.6
602,
603,0.6
604,0.0
605,53.4
606,0.0
607,25.0
608,0.0
609,0.1
610,0.0
611,0.0
612,0.5
613,
614,0.0
615,1.5
616,0.1
617,10.8
618,10.0
619,
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,14.0
627,
628,0.0
629,60.1
630,0.0
631,36.6
632,0.0
633,0.0
634,0.0
635,38.4
636,60.1
637,0.0
638,0.0
639,2.3
640,0.0
641,44.3
642,0.0
643,0.0
644,2.6
645,0.0
646,8.4
647,0.0
648,0.0
649,0.2
650,23.3
651,5.6
652,11.8
653,0.0
654,
655,
656,0.7
657,9.5
658,16.0
659,27.5
660,18.4
661,5.9
662,0.0
663,0.0
664,0.0
665,1.7
666,0.0
667,0.0
668,160.1
669,58.3
670,0.0
671,0.0
672,0.0
673,10.1
674,2.4
675,20.0
676,0.0
677,33.9
678,12.8
679,0.0
680,0.0
681,136.4
682,0.0
683,0.7
684,0.0
685,2.5
686,2.0
687,0.0
688,9.5
689,0.0
690,0.0
691,1.0
692,18.0
693,47.3
694,4.0
695,0.0
696,0.0
697,0.0
698,0.2
699,0.0
700,0.0
701,0.0
702,0.0
703,2.4
704,0.0
705,0.0
706,0.2
707,31.5
708,0.0
709,0.6
710,0.0
711,0.6
712,0.6
713,0.0
714,0.0
715,0.0
716,
717,0.0
718,0.0
719,0.0
720,5.5
721,0.0
722,21.0
723,0.2
724,0.0
725,0.0
726,26.8
727,0.0
728,0.0
729,0.0
730,0.0
731,0.0
732,7.9
733,7.0
734,0.0
735,24.7
736,0.7
737,0.0
738,1.8
739,50.3
740,0.0
741,17.0
742,0.0
743,1.7
744,0.0
745,0.0
746,0.0
747,38.3
748,0.4
749,0.0
750,
751,0.9
752,
753,0.0
754,10.6
755,31.3
756,0.0
757,2.4
758,7.2
759,0.0
760,0.0
761,11.5
762,1.0
763,0.0
764,0.0
765,0.0
766,0.0
767,
768,
769,0.0
770,0.0
771,0.0
772,0.0
773,
774,0.0
775,
776,
777,82.0
778,0.0
779,
780,0.1
781,0.0
782,0.0
783,13.1
784,3.0
785,0.1
786,
787,
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,26.6
794,92.5
795,0.0
796,23.0
797,1.3
798,0.0
799,27.1
800,0.7
801,0.0
802,0.0
803,0.0
804,2.8
805,0.0
806,0.0
807,0.0
808,0.8
809,13.5
810,0.0
811,64.5
812,0.8
813,
814,0.0
815,12.8
816,0.3
817,20.0
818,0.0
819,1677.6
820,4.9
821,32.8
822,0.0
823,0.0
824,0.0
825,0.0
826,0.0
827,1.0
828,8.0
829,10.9
830,0.0
831,58.5
832,0.0
833,0.0
834,
835,0.0
836,
837,0.0
838,3.8
839,0.0
840,0.0
841,13.5
842,2.0
843,0.0
844,0.0
845,0.0
846,34.1
847,6.0
848,0.1
849,2.5
850,
851,0.0
852,3.0
853,4.8
854,0.0
855,2.2
856,4.5
857,0.0
858,
859,0.6
860,0.0
861,0.1
862,2.8
863,0.0
864,0.2
865,0.2
866,0.0
867,5.1
868,2.8
869,0.4
870,0.0
871,12.3
872,0.3
873,0.0
874,
875,0.1
876,5.7
877,2.0
878,
879,4.1
880,2.0
881,0.0
882,0.0
883,
884,0.3
885,0.0
886,0.0
887,
888,0.1
889,0.0
890,0.0
891,29.1
892,
893,0.0
894,0.1
895,11.5
896,0.2
897,0.0
898,0.4
899,5.1
900,0.0
901,0.0
902,0.8
